artist_credit,position,artist,name
id-503284,0,id-503284,Vary Lumar
id-1041904,0,id-921495,Branch  Dean
id-1390938,0,id-1125085,Bloodtruth
id-617059,0,id-617059,RococoWorks
id-733865,0,id-733865,Three Women in Black
id-283017,0,id-283017,McDougall Tango
id-1154724,0,id-999272,Killigrew
id-1031313,0,id-915477,Arcade Robot
id-10306,0,id-10306,NEC
id-92708,0,id-92708,Mystic 3
id-188391,0,id-188391,Neil Anderson
id-679826,0,id-679826,Drake Dehlen
id-220870,0,id-220870,Corrine
id-299612,0,id-299612,Izoxime
id-1404951,0,id-1181372,Sabu
id-2425204,0,id-1822841,розовый рап
id-896138,0,id-846084,Nautiluss
id-896138,1,id-529142,Lord Skywave
id-776739,0,id-776739,Fete
id-1211446,0,id-1038671,SkuwaSaty
id-603665,0,id-603665,MC Rude
id-972328,0,id-885785,Poor People
id-407409,0,id-407409,Mr Skillz and His Crazy Girls
id-41783,0,id-41783,Elsa Sophia von Kamphoevener
id-1645631,0,id-459567,Christian Münzner
id-479557,0,id-479557,City Hall
id-1086584,0,id-947741,Undying Legacy
id-442572,0,id-442572,Antimatter
id-600575,0,id-600575,Meditainment
id-426122,0,id-426122,Matzak
id-960445,0,id-877809,Emmanuel Witzthum
id-173059,0,id-173059,Alchemy
id-379737,0,id-379737,Muff
id-2353967,0,id-1764579,Sol 46
id-211669,0,id-211669,Mode 4
id-90624,0,id-90624,Loafer
id-783281,0,id-783281,Johnny Hancocks
id-1216168,0,id-1042366,Kevin Madero
id-301583,0,id-301583,Radical Rob
id-133374,0,id-133374,Same People
id-150193,0,id-150193,The Creole Zydeco Farmers
id-884902,1,id-573407,Nevada
id-884902,0,id-57389,Stéréopol
id-3305778,0,id-2340192,New Sol
id-645260,0,id-645260,Joyspeed
id-982095,0,id-891050,Introverted Violence
id-429369,0,id-429369,Voodoo Chilli
id-567881,0,id-567881,Orange Tulip Conspiracy
id-781183,0,id-781183,Wet Mango
id-1067059,0,id-934987,David Garfit
id-564451,0,id-564451,The Isolitics
id-288962,0,id-288962,Nowadays
id-416430,0,id-416430,Fabiola
id-117521,0,id-117521,Tcheelab
id-252861,0,id-252861,Angrist
id-542428,0,id-542428,Nate Williams
id-747511,0,id-747511,Tommy  Karim
id-861758,0,id-828855,Abermensch
id-1042987,0,id-380948,Roman
id-751312,0,id-751312,Walter B. Rogers  His Band
id-2003694,0,id-1511526,Luke Friend
id-1093198,0,id-952018,El Tabador
id-1398538,0,id-1177248,Julia Dollison
id-996018,0,id-896898,The Acoustic Guitar Troubadours
id-634003,0,id-634003,Beautiful Bird
id-758989,0,id-758989,Kimika
id-656676,0,id-656676,The Amazing Bingo Band
id-219430,0,id-219430,Julie Salvador
id-1072049,0,id-937520,Lola-Cola
id-744491,0,id-744491,Grok
id-554191,0,id-554191,Eklihpse
id-742152,0,id-742152,Joan Rohrer Hundhausen
id-2259022,0,id-483605,Hai Robotto
id-1047791,0,id-925103,Deftones for Cutie
id-616922,0,id-616922,Sincerely Artist Unknown
id-1203433,0,id-1033261,Declan McLaughlin  The Hi Flats
id-745560,0,id-745560,Henri Scott
id-2169065,0,id-1628028,Synths Versus Me
id-515707,0,id-515707,Boscoe Rich
id-608142,0,id-608142,autumndownpourmachinery
id-645035,0,id-645035,Bryan Lubeck
id-305509,0,id-305509,Melaton
id-1068674,0,id-935661,Albert Mangelsdorff Quartet
id-283327,0,id-283327,Floorian
id-639553,0,id-639553,Stig Inge
id-2129728,0,id-1597889,Merrell Twins
id-1208807,0,id-1036814,Дети Индиго
id-225216,0,id-225216,Basic Gravity
id-92321,0,id-92321,Paulo Rocha
id-1225028,0,id-1049526,Eine Möhre für Zwei
id-228818,0,id-228818,Taurpis Tula
id-787899,0,id-787899,Heath Cullen  The 45
id-3224128,0,id-2291598,Bonkr
id-1702397,0,id-1398241,Violin Melody
id-280131,0,id-280131,Catholic Comb
id-64140,0,id-64140,Meeker
id-210394,0,id-210394,Scudelia Electro
id-570070,0,id-570070,Trinity Stone
id-798306,0,id-798306,DaCaV5
id-280951,0,id-280951,Nhess
id-639004,0,id-639004,Aygan
id-804336,0,id-804336,Renae Handy
id-5423,0,id-5423,The Hal Galper Quintet
id-1489345,0,id-1241636,Xes Dreams
id-722794,0,id-722794,Beau Heart
id-3304384,0,id-2339333,回春丹
id-1204895,0,id-1034133,Brodie Stewart Band
id-709798,0,id-709798,The Cash Stevens
id-1402818,0,id-1180104,High Tyde
id-827769,0,id-808920,Stand Fast
id-788912,0,id-788912,The Fierce Nipples
id-379962,0,id-379962,Rockets and Blue Lights
id-1322441,0,id-56015,The Yann Fontaine Project
id-166170,0,id-166170,The Pieces
id-590417,0,id-590417,Intercourse
id-635504,0,id-635504,Baby Blonde  The Downs
id-420778,0,id-420778,Lock  R.O.B.
id-1442274,0,id-855355,arcsin100
id-613366,0,id-613366,Spark of Fire
id-2649588,0,id-948851,Bryan Popin
id-2649588,1,id-1178674,Tasha Page-Lockhart
id-210554,0,id-210554,Cyber People
id-405886,0,id-405886,So Fly
id-794836,0,id-794836,Day V Lately
id-1315350,0,id-1116506,Seesselberg
id-1210575,0,id-1038046,Emperor of Myself
id-3304234,1,id-2339261,Moncadita
id-3304234,0,id-99772,Dama
id-584815,0,id-584815,Videodrome
id-2919987,0,id-2115949,The Wanted
id-42458,0,id-42458,Davinia
id-54195,0,id-54195,The Last Mr. Bigg
id-120891,0,id-120891,Jim Clarke
id-645138,0,id-645138,Refuse to Fall
id-231777,0,id-231777,Pellumair
id-226531,0,id-226531,The Cool The Fab  The Groovy
id-313762,0,id-313762,John Braine
id-268776,0,id-268776,Microspasmi
id-355090,0,id-355090,Balero
id-2001295,0,id-1509798,Friend Request
id-533563,0,id-533563,Niki Belucci
id-433970,0,id-433970,Stud Puppet
id-45519,0,id-45519,Lucy Street
id-791997,0,id-791997,Eleven Year Old
id-441041,0,id-441041,Pece
id-1215818,0,id-1042074,Witness to an End
id-6128,0,id-6128,More Said
id-495208,0,id-495208,The Benny Golson Quartet
id-424562,0,id-424562,Jasper Leyland
id-521923,0,id-521923,Original Bison City Quartette
id-119340,0,id-119340,Underhead
id-3006965,0,id-1684804,StéLouse
id-3006965,1,id-1422973,Sober Rob
id-550373,0,id-550373,.D.S..
id-321158,0,id-321158,Amazon Mollies
id-690719,0,id-690719,Traktoroth
id-463269,0,id-463269,Critical Rhythm
id-1443915,0,id-1107811,Se Delan
id-3074408,0,id-2208277,Chumlum
id-798531,0,id-798531,Nite Lite
id-1169729,0,id-1009990,Tyde Moore
id-292929,0,id-292929,Killa Productions
id-1631132,0,id-1112991,Joseph Fink
id-1631132,1,id-1291607,Jasika Nicole
id-309004,0,id-309004,Morricone Youth
id-1455645,0,id-1219156,André Previn and His Quartet
