artist_credit,name,artist_count,ref_count,created
id-1134179,Ashentide,1,10,2013-03-02 001810.125968+00
id-2936603,Leland Blue,1,18,2021-02-23 110920.970384+00
id-978589,Sam,1,4,2012-05-02 094759.521584+00
id-1395708,Miss Irenie Rose,1,10,2014-11-30 190736.919609+00
id-772713,M.A.N.D.E.A.R.,1,22,2011-05-16 163211.963929+00
rec-520029-dup-1,Mofon9o,1,10,2011-05-16 163211.963929+00
id-2344775,Bobby O  His Banana Republic,1,24,2019-01-14 060035.260584+00
id-288420,Verso,1,14,2011-05-16 163211.963929+00
id-550712,Tom Dale,1,62,2011-05-16 163211.963929+00
id-348061,Jock Mitchell,1,15,2011-05-16 163211.963929+00
id-892536,Nils Wogram Nostalgia,1,42,2011-12-02 230729.556542+00
id-856855,The Shifoomies Band,1,12,2011-09-09 123339.507694+00
id-998142,Good Tone Banjo Boys  Armstrongs Pasadenians,2,2,2012-06-09 150005.180146+00
id-998143,Good Tone Banjo Boys,1,2,2012-06-09 150009.466143+00
id-763311,carpool lane,1,10,2011-05-16 163211.963929+00
id-283745,Ονειροπαγίδα,1,104,2011-05-16 163211.963929+00
id-803609,Cas Sochacki and Angela Rose,1,8,2011-05-16 163211.963929+00
id-197624,Aramac,1,10,2011-05-16 163211.963929+00
id-406575,Mensura,1,34,2011-05-16 163211.963929+00
id-434288,Amnesia,1,6,2011-05-16 163211.963929+00
id-2429466,Kangaroo,1,28,2019-05-27 175717.789578+00
rec-1497997-dup-0,Maclame Bovary,1,44,2015-06-26 194517.831159+00
id-210226,Nick Pichet and The Brown Flamingos,1,40,2011-05-16 163211.963929+00
id-1218878,Theo Bard,1,62,2013-09-21 161514.087289+00
rec-1000003-dup-0,Limo2ine,1,28,2012-06-13 203652.239833+00
id-742021,Constancia,1,118,2011-05-16 163211.963929+00
rec-1200377-dup-0,Painless Parlcer,1,18,2013-08-02 191023.183375+00
id-632817,Cosmic Vishnu,1,8,2011-05-16 163211.963929+00
id-1073730,Tavonna Miller,1,8,2012-10-29 194310.616155+00
id-387296,The Surgens,1,70,2011-05-16 163211.963929+00
id-229427,Stereo Starboy,1,66,2011-05-16 163211.963929+00
id-1091786,Good Night  Good Morning,1,48,2012-12-08 092929.597352+00
id-556387,Garnet Clark  His Hot Clubs Four,1,13,2011-05-16 163211.963929+00
id-2269233,Nathan Warnes,1,12,2018-08-21 110559.425304+00
id-249034,Louie,1,24,2011-05-16 163211.963929+00
id-717543,Supertonic Sound Club,1,6,2011-05-16 163211.963929+00
rec-1119401-dup-0,Steve Sovlbasics,1,10,2013-01-29 155309.961938+00
id-717548,Crispo,1,6,2011-05-16 163211.963929+00
id-1391824,XOX,1,24,2014-11-22 145859.836172+00
id-168387,Isobella,1,64,2011-05-16 163211.963929+00
id-1212722,Strange Appeal,1,56,2013-09-03 044408.747718+00
id-372832,Everette,1,12,2011-05-16 163211.963929+00
id-497008,天地無用の人々,1,22,2011-05-16 163211.963929+00
id-678334,Arp Attack,1,85,2011-05-16 163211.963929+00
id-367667,Death Row Earth,1,8,2011-05-16 163211.963929+00
id-199382,Vuemorph,1,22,2011-05-16 163211.963929+00
rec-509183-dup-0,Laufert,1,30,2011-05-16 163211.963929+00
id-1006287,The Soul Garden,1,10,2012-06-26 140827.80345+00
id-696456,Anatomist,1,70,2011-05-16 163211.963929+00
id-1198173,Pistol Whipping A Blind Kid,1,2,2013-07-30 023228.761017+00
id-3373496,Mr Smith,1,6,2022-08-13 084415.852918+00
id-744226,Lee Engele,1,10,2011-05-16 163211.963929+00
id-1195935,Assimilated Mind Phase,1,20,2013-07-23 212040.42607+00
id-769418,Jabba and the shower boyZ,1,6,2011-05-16 163211.963929+00
id-287132,2350 Broadway,1,146,2011-05-16 163211.963929+00
id-261844,Del Dongo,1,11,2011-05-16 163211.963929+00
id-761649,Pet Ghost Project,1,14,2011-05-16 163211.963929+00
id-565021,Davem,1,8,2011-05-16 163211.963929+00
id-1180791,Hausu,1,34,2013-06-20 143422.491541+00
