label,gid,name,label_type,area,ended
158752,7b3101d333c641cb82f49487c674a783,Saldana Bros,,5196,f
74891,43bd66e9b45c47d7b25a34f997077e79,Rock Snob Records,,,f
38890,56362fb8de9548709dbf109fe231c38f,Obskure Sombre Records,Original Production,,t
146254,b7b42ff9e84f4f2296fd045bf2bebd45,FIRE ON MUSIC CO LTD,Holding,205,f
232447,674382ee348649f9a18ef76fffc0ba9f,Straight Ahead Records,Distributor,222,f
133471,d36081e3ecf645c68363358b65234f14,MRF Records,Publisher,,f
91523,bd231e3250114bb59275eb189c7971b1,Going Underground Records,Imprint,22323,f
185565,6ba62f7cb35d45e1990f6764af1ad929,Продюсерский центр Макса Фадеева,,,f
225845,023c6cf88c2b4a0f947b787c737c98cb,El Matadero Récords,,,f
98556,10236a88d1d9469a86cd66ae58703cec,Eminor Records,,331,f
213350,99b5c32dd26440499d57f9da1b6afb6b,Newform8,,,f
141569,e6822f6384b14684a6a4f4edcab46387,Honningmand Records,Original Production,57,f
38067,e740e69484ff4bd48321064c04d867b6,Disco Trompo,,194,f
197758,31419a046bce4f7fa69395566f96f277,Machine Head Records,Production,,f
150944,fd641050ae744610a501f5c9d0b82d35,Mr Box Music,Publisher,30646,f
43739,72a089746f6f4cd1ae3a84535cac345e,serviceAV,,221,f
240965,8db04c477d694c4cbabfec0073de0ff6,Ritual Release,Original Production,82369,f
41168,14aa71fb963c4e5fa6cc6199ed20dfe8,Holiday Records,Original Production,222,f
77100,3d870ab9b8db40aab722ffc83cb27ea2,Under Fire Records,,,f
127484,39825a979f44425e8f6ab6da0740e34e,BBC Audiobooks Ltd,,,f
38033,0899b6da5da04b78931732d7e08e9429,Green Door Record Company,,,f
49875,b0b124e17700455d82073edd20e00472,Sethnefer Music,,,f
192432,3e7b029e03b0429084bffaeb5fc70455,Mable Jean Music,,,f
100680,3043c8638d0e4bb09e362987511008d3,Mad Vincent Music,Publisher,222,f
101485,f92be7b4999d4610bc9923c30b1f0af5,Horn OCopia Recordings,Imprint,,f
182385,f4f9d774daa44a0881db5fac91c8322d,Kai Matthiesen Music,,,f
131793,cd1dbf378de34c6996517330828d55b5,Cattle Call,,,f
37303,546c60bdde194e91bd6254f0a8ce4ca1,SnewYouCom,Distributor,222,f
32658,34923bf74ff047fb8bec5c5189c9eed3,Jellyfish Factory Records,,73,f
242829,ecd94ab96c3e40a8bb48c362668010a5,Yelloëwax Pty Ltd,Holding,193,f
216863,25383cc8c112494faa85d566c2629e26,Briss Dont Miss,,,f
126552,d564087109344b95ba3a8ed2c17edf61,Punk Uprisings Records,,22328,f
81029,645c0c557699412895379e44bcbe0357,Apexx Recordings,Original Production,221,f
42462,07bf2ed3c638445b852417b13e4db69d,Insiduous Urban Records,Original Production,222,f
34205,b314161b04ea493f8886f509f04c46c5,Square Beats,,150,f
92514,1c55617992ad45abbd9287427a78e50e,JT Company,Original Production,105,f
18232,79d08533433c434e919f926e3e4b9e60,Cymbidium Records,Original Production,72,f
31519,947dc87b7187490187d7aab34045fc79,The David Gresham Record Company,Distributor,193,f
84837,40bd3a00c4cb4f73876d2d3046be2939,Myra Locatelli,,,f
40477,36e8c9a6be824543881fe6136d86598a,Trip Trax,Original Production,203,f
122650,3834ff65d8e946bcaca3e225dd8f10d1,Face Maker Entertainment,Publisher,,f
111080,6c04416eb96d4c8dbf28b1bf50475d72,Compact Disc Center,,,f
73974,1e42ace9be484fd68d49b1fd39311954,Eclectic Productions,Original Production,219,f
163761,c3bfbf10903a4eecb6deb52a393bffea,Unobsky Songs,Publisher,222,t
222740,a94acbed63b445d18854c4fe04a2b60f,LR Records,Original Production,,f
129294,ce6738370f2e4269ab302eeea6c055ca,Bug Music Inc,Publisher,,f
92507,03a3ee89973b40068bbdea51ee63f61a,Amethyst,,,f
217596,cfc747cd27894b5492d38ee9ad56718a,Clásicos Latinos,,,f
133033,52927c946d99447bbd02f38f35273227,Beelink Productions,Production,63,f
23273,77834a3088f24e998af1695d2b7f1f5c,Les Disques Fonovox,,7279,t
90550,99d542f98039498e9b940a474f94fac2,Nasty Habits Productions,Publisher,221,f
123287,e0e6c37216c14645968150fbffdbd7f3,Musique En Chantier,,,f
90036,2810db663f4d48da8e5f1c91b1f7cf72,Dundeal Entertainment,Production,222,f
47065,9610171342454c10b11aae775dbd3beb,JVJ Entertainment,Original Production,221,f
28817,80774c3b91704610a1c3762cf72b8850,Virtual Label,Original Production,56,f
41590,f53b1fb0aaa5434eb599eab165088801,Enormous Tunes,,203,f
182088,dc86574cf5394283af5d67523bd94143,Mankind Disaster Records,,221,f
67313,0e8f24db92894e7cb25b9115a8ec6ed1,Digispherium Music,,,f
16390,2119e8fce4584a60a46e6e6ed385e134,Tompkins Square,Original Production,222,f
118310,8d48f97a3a69434ea2938d3b131c4b5b,Be Side Records,,,f
208497,073b9f091baa4ecb8acf620ab471803a,Some Random Publishing House,Publisher,,f
83664,43bb8c5a9a534f649d549d3a3f9d7be8,PRMD,Original Production,202,f
252425,cf55cce7067243f881e67d40485cdc6b,Saturn Strip,Original Production,,f
81726,489ddf47baca4ea09d6267838798ab32,Songs That Keep Me Here,Publisher,222,f
213178,2ef314ea451946ca84dee8d9366184b2,Tomo Fujita Music,,,f
44511,6ba06e1997d846baaf176948942cd8c4,Cludgie Recordings,,,f
83058,aa7ed4056b844e1f8f1504f0a9892bd9,Liquid Records,Production,,f
88213,368b7298fa9f4efd8f5e050c31931873,Därängdängdäng Records,,,f
61170,75f5a0b0a5d94a89b52f0fe7351d5b00,Marcel Productions,,,f
101967,6228164ddfbf4cbeb3829aee1ab173e9,International Piano Archives,Reissue Production,21830,f
