medium,release,position,format,track_count
id-1278589,id-1246803,1,31,2
id-400291,id-400291,1,1,13
id-2555028,id-2359294,1,1,13
id-445796,id-445796,1,1,14
id-1695632,id-1611988,1,,10
id-710611,id-710611,1,31,2
id-1251108,id-1220644,5,1,43
id-894018,id-894018,1,1,14
id-103422,id-103422,1,1,3
id-2556877,id-2361002,1,1,13
id-573281,id-573281,1,12,5
id-1692046,id-1608921,1,12,13
id-931450,id-931450,1,,15
id-1287527,id-1254698,1,31,16
id-78614,id-78614,1,,7
id-906852,id-906852,1,,10
id-22208,id-22208,1,,2
id-676117,id-676117,1,1,10
id-119668,id-119668,1,,9
id-816795,id-816795,1,1,22
id-1280800,id-1248687,1,1,10
id-3260781,id-2995902,1,12,10
id-240216,id-240216,2,1,20
id-1255352,id-1227230,1,,9
id-184881,id-184881,1,1,12
id-378572,id-378572,1,1,57
id-1319341,id-1282402,1,,11
id-484071,id-484071,1,1,16
id-1128856,id-1116561,1,33,12
id-526717,id-526717,1,1,18
id-1277218,id-1245838,3,1,12
id-858891,id-858891,1,,20
id-3353815,id-3081034,1,12,10
id-853185,id-853185,1,,23
id-1032587,id-1032587,1,1,10
id-171787,id-171787,1,1,17
id-821256,id-821256,1,1,24
id-3900410,id-3579974,1,12,10
id-733408,id-733408,1,1,11
id-66630,id-66630,1,,18
id-3653352,id-3352217,1,12,4
id-904148,id-904148,1,1,7
id-3082921,id-2836016,1,1,10
id-690897,id-690897,1,12,30
id-182343,id-182343,1,,11
id-129690,id-129690,1,,22
id-407763,id-407763,1,12,8
id-683377,id-683377,1,12,57
id-1147787,id-1133236,1,12,9
id-465907,id-465907,1,1,17
id-2556057,id-2360226,1,1,30
id-566142,id-566142,1,1,26
id-295278,id-295278,1,1,23
id-120485,id-120485,1,1,12
id-1204436,id-1182281,1,1,13
id-2105447,id-1967134,2,43,104
id-1307015,id-1271678,1,31,30
id-1100576,id-1092285,1,12,17
id-1118558,id-1107548,1,12,2
id-185685,id-185685,1,1,16
id-770387,id-770387,1,1,17
id-828328,id-828328,1,1,14
id-36415,id-36415,1,1,18
id-1137187,id-1123951,1,1,25
id-267847,id-267847,1,1,21
id-427679,id-427679,1,1,18
id-777772,id-777772,1,1,20
id-682936,id-682936,1,1,59
id-1266567,id-1237039,1,8,7
id-649082,id-649082,1,8,10
id-98550,id-98550,1,1,4
id-542611,id-542611,1,1,11
id-879135,id-879135,1,,13
id-2106057,id-1967674,4,43,106
id-551393,id-551393,1,12,15
id-943602,id-943602,1,,16
id-3902813,id-3582141,3,12,30
id-359054,id-359054,1,1,16
id-265979,id-265979,1,1,15
id-323591,id-323591,1,31,12
id-773468,id-773468,1,1,12
id-487515,id-487515,1,1,14
id-991023,id-991023,1,,6
id-422094,id-422094,1,1,15
id-77724,id-77724,1,,12
id-3437382,id-3155970,1,12,5
id-2509,id-2509,1,1,16
id-1247663,id-1220440,1,1,13
id-2240661,id-2083401,1,33,11
id-2339005,id-2169113,1,31,12
id-706625,id-706625,1,1,20
id-82815,id-82815,1,,30
id-453736,id-453736,1,1,10
id-690675,id-690675,1,12,39
id-1138984,id-1125592,1,1,13
id-127064,id-127064,1,1,20
id-1011260,id-1011260,1,,7
id-727967,id-727967,1,1,15
id-621099,id-621099,1,1,11
id-1127520,id-1115409,1,1,22
id-814943,id-814943,1,31,4
id-305725,id-305725,1,1,15
id-1698713,id-1614502,1,1,13
id-162464,id-162464,1,1,10
id-525232,id-525232,1,1,22
id-1235466,id-1209616,1,1,4
id-3088836,id-2841504,1,12,13
id-383792,id-383792,1,,16
id-898029,id-898029,1,,13
id-30159,id-30158,2,1,13
id-207139,id-207139,1,1,11
id-384788,id-384788,1,1,9
id-406100,id-406100,1,1,30
id-149522,id-149522,1,1,12
id-1227941,id-1202703,1,1,14
id-138446,id-138446,1,1,22
id-9249,id-9249,1,,9
id-546938,id-546938,1,1,9
id-736309,id-736309,1,1,20
id-65086,id-65086,1,1,12
id-1349808,id-1308985,1,1,16
id-1051648,id-1050089,1,33,2
id-1010354,id-1010354,1,1,18
id-1698379,id-1614233,1,31,5
id-2244619,id-2086853,2,1,13
id-1059079,id-1056485,1,1,11
id-515949,id-515949,1,31,3
id-4109,id-4109,1,1,14
id-967327,id-967327,1,1,19
id-3435091,id-3153980,1,12,18
id-1037298,id-1037298,1,,17
id-849098,id-849098,1,1,13
id-756662,id-757051,4,1,15
id-108207,id-108207,1,1,14
id-393911,id-393911,1,1,23
id-656129,id-656129,1,1,10
id-486326,id-486326,1,12,9
id-313355,id-313355,1,1,17
id-549829,id-549829,1,1,27
id-844006,id-844006,1,,8
id-287886,id-287886,1,1,20
id-895231,id-895231,1,,16
id-1036214,id-1036214,1,,7
id-1211515,id-1188451,1,1,19
id-663443,id-663443,1,1,12
id-438490,id-438490,1,1,11
id-3080146,id-2833459,1,1,9
id-919480,id-919480,1,,18
id-3728601,id-3421610,1,12,343
id-87042,id-87042,1,1,15
id-678355,id-678355,1,1,92
id-2050978,id-1919945,1,55,2
id-239496,id-239496,1,1,12
id-1253752,id-1225804,1,12,12
id-139749,id-139749,1,1,16
id-3354949,id-3082069,3,1,18
id-371933,id-371933,1,31,3
id-1301421,id-1266881,1,8,10
id-18446,id-18446,1,,13
id-466966,id-466966,1,1,20
id-822037,id-822037,1,1,12
id-582191,id-582191,1,1,13
id-134912,id-134912,1,1,14
id-1449317,id-1396220,1,1,11
id-307078,id-307072,3,1,11
id-684124,id-684124,1,1,43
id-1094308,id-162574,1,1,14
id-1138150,id-1124844,1,31,10
id-661456,id-661456,1,1,25
id-1303488,id-1268671,1,1,56
id-748866,id-748866,1,1,12
id-160395,id-160395,1,1,26
id-338981,id-338981,1,1,12
id-1246332,id-1219302,1,1,29
id-680789,id-680789,1,1,9
id-1697814,id-1613780,1,31,8
id-1259426,id-1230720,1,19,22
id-951393,id-951393,1,,10
id-544114,id-544114,1,1,18
id-764949,id-764949,1,12,23
id-317183,id-317183,1,1,13
id-1195356,id-1174280,2,1,14
id-968700,id-968700,1,1,10
id-85820,id-85820,1,1,7
id-2514071,id-2323332,1,1,10
id-883970,id-883970,1,,13
id-3439226,id-3157682,2,1,8
id-962424,id-962424,1,,13
id-1691147,id-1608115,1,29,2
id-179790,id-179790,1,,8
id-52570,id-52570,1,1,10
id-797223,id-797223,1,1,4
id-743919,id-743919,1,12,26
id-645085,id-645085,1,12,84
id-148158,id-148158,1,1,19
id-262465,id-262465,1,1,15
id-972064,id-972064,1,,20
id-541706,id-541706,1,1,11
id-647967,id-647967,1,1,13
id-47684,id-47684,1,1,11
id-1115774,id-1105204,1,1,11
id-2871015,id-2643867,1,31,13
id-610888,id-610888,1,12,61
id-2455605,id-2272477,20,1,43
id-582530,id-582530,1,12,4
id-905783,id-905783,1,1,9
id-1251668,id-1223918,1,1,8
id-701425,id-701425,1,1,13
id-1024551,id-1024551,1,,12
id-1291649,id-1258297,1,1,12
id-112164,id-112164,1,,11
id-1196497,id-1175272,1,12,15
id-175899,id-175899,1,1,14
id-320902,id-320902,1,1,12
id-300639,id-300639,1,12,14
id-2982673,id-2745029,1,1,22
id-533785,id-533785,1,1,29
id-1174937,id-1156893,1,12,11
id-53791,id-53791,1,1,3
id-2110207,id-1971282,1,1,14
id-818679,id-818679,1,12,20
id-2256046,id-2096528,1,1,12
id-1738682,id-1649643,1,1,15
id-678780,id-678780,1,1,99
id-343041,id-343041,1,1,16
id-369690,id-369690,1,8,14
id-355609,id-355609,1,12,4
id-399337,id-399337,1,31,2
id-1311348,id-1275378,1,1,20
id-270703,id-270703,1,,34
id-3905461,id-3584634,1,12,9
id-3352336,id-3079695,1,12,10
id-816552,id-816552,1,1,17
id-683895,id-683895,1,1,54
id-470114,id-470114,1,1,14
id-53310,id-53306,5,1,4
id-297000,id-297000,1,1,17
id-2553036,id-2357535,2,1,47
id-3901668,id-3581118,1,12,6
id-3083634,id-2836684,1,12,8
id-935345,id-935345,1,,16
id-492872,id-492872,1,1,24
id-1222340,id-1197761,1,31,7
id-907130,id-907130,1,,13
id-649981,id-649981,1,1,9
id-400771,id-400771,1,1,12
id-423661,id-423661,1,1,9
id-1098355,id-1090569,1,1,8
id-13998,id-13998,1,1,10
id-1035103,id-1035103,1,,4
id-261311,id-261311,1,31,13
id-1695244,id-1611644,1,12,53
id-1269664,id-1239571,6,1,22
id-255136,id-255136,1,,7
