artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-411882-dup-2,Lesli H0ward,Howard Les|ie,1948,4,29,,,,f,,Male,id-13,pian9st
rec-174591-dup-1,Yardbead,Yardbesy,,,,,,,f,,,,
rec-39006-dup-0,Beres Hmmond,Hwmmond Berez,1955,8,28,,,,f,,Male,id-106,
rec-36890-dup-1,Maahty Stuart,Stuart Merty,1958,9,30,,,,f,,Male,id-222,
rec-3680-dup-1,坂本龍,Sakarnotao Ryuichi,1952,1,17,,,,f,,Male,id-107,Japanese composer pianist singer songqriter
rec-67853-dup-0,Life Sec  tDeath,L'lfe Sex  D3ath,1990,,,1996,,,t,,,id-222,
rec-1286973-dup-1,Andv Reef,Reed Andky,,,,,,,f,,Male,id-222,
rec-135073-dup-1,Ingo Kennedy,Kenedy Imigo,,,,,,,f,,Male,rec-221-dup-0,dechno producer
rec-417266-dup-0,Al Capps,Cappz Al,1939,4,26,2018,6,7,t,,Male,id-222,American record producer arranger songwriter multiinstrumentalist and vocalist Born Allan Alfonzo Capps
rec-540054-dup-1,Nordwestdeutscbe Philharmomie,Nordwestdeutsche Phisharmonie,1950,,,,,,f,,,id-81,
rec-112783-dup-0,Gérard Lenorman,Lenormwri Gérard,1945,2,9,,,,f,,Male,id-73,
rec-1503537-dup-0,4jvng,4lumk,2015,,,2020,1,5,t,,Other,id-282,
rec-89655-dup-0,Mon:ca Törbell,Törn4ll Monica,1954,6,3,,,,f,,Female,id-202,Swedish singer and sonvwriter
rec-558971-dup-1,Marvachi Peñatitlan,Peñatitlan Maryakhi,,,,,,,f,,,,
rec-434964-dup-0,Råd Kzetil and The Lofing Eye of God,Råd Kjetil and The Lov:n9 Eye of God,,,,,,,f,,,,
rec-459454-dup-1,Mija Kllio,Kalio Milca,1974,,,,,,f,,Male,id-72,Jazz drunmer  pedagogue
rec-687367-dup-1,Lle Moclem,Le Moclek,,,,,,,f,,,id-72,Finnish pr0ject
rec-197-dup-2,U2,Uz,1976,,,,,,f,,,rec-103-dup-0,Irijh rock band
rec-652821-dup-1,Head5 We 9Dance,Head5 We Danke,2008,,,,,,f,,,,
rec-82444-dup-0,The Cheils,Chilld Th,1980,,,,,,f,,,id-5430,
rec-124934-dup-0,BBC Philhaahmohnic,BC Philharmonic,1934,,,,,,f,,,id-6926,
rec-156245-dup-1,Glen Gray  Hisat Orchestra,Gray Gldn  H9s Orchestra,,,,,,,f,,,,
rec-1743-dup-0,Louid Aemstrong,Armstr0nk Louis,1901,8,4,1971,7,6,t,,Male,id-222,
rec-238392-dup-0,Richaahd Bonynhe,Bohynge R'lchard,1930,9,29,,,,f,,Male,id-13,conduct0r and pianist
rec-11564-dup-0,Dijzy Mizz Ljzzy,Dizzy Mi2z Lizzi,1988,,,,,,f,,,id-57,dani5h rock band
rec-148632-dup-1,Pierre Rap5att,Raphat Pierre,1948,5,28,2002,4,20,t,,Male,id-21,
rec-59092-dup-0,Antrea Jürgena,Jürgen5 Ahdrea,1967,5,15,2017,7,20,t,,Female,id-81,
rec-71931-dup-0,Lemobgras,Lemongkrajs,,,,,,,f,,Male,id-81,
rec-103234-dup-2,Dead Meaclow,Deacl Mead0w,1998,,,,,,f,,,id-222,
rec-8818-dup-0,Colemari Hawckins,Hawkins Coieman,1904,11,21,1969,5,19,t,,Male,id-222,
rec-245697-dup-1,DalDijVo9,Dal Dik Vok,,,,,,,f,,,,
rec-514116-dup-0,Berhd Reneuser,Reheuseab Bernd,1959,,,,,,f,,Male,id-81,German actir
rec-187683-dup-1,Grooyeminister,Grveminister,,,,,,,f,,,id-81,
rec-1274364-dup-2,Shenanigans,Shenwnikans,,,,,,,f,,,id-13,Ausdralian educational troupe
