id,release,position,format,track_count
899749,id-899749,1,,15
261311,id-261311,1,31,13
419882,id-419882,1,1,13
86341,id-86341,1,1,15
3904405,id-3583622,1,12,15
87051,id-87051,1,,14
603739,id-603739,1,1,8
1200609,id-1178947,1,1,20
2620848,id-2418812,1,,15
1222340,id-1197761,1,31,7
712503,id-712503,1,31,14
752819,id-752819,1,1,13
1343811,id-1303780,1,8,11
1381534,id-1336728,1,33,9
1286655,id-1253910,1,12,21
18446,id-18446,1,,13
672497,id-672497,1,1,6
423339,id-423339,1,1,10
108368,id-108368,1,1,13
634782,id-634747,2,7,11
265979,id-265979,1,1,15
1303488,id-1268671,1,1,56
1025010,id-1025010,1,,5
65453,id-65453,1,1,9
215685,id-215685,1,1,10
329353,id-329353,4,,25
1491881,id-1433308,1,1,19
953459,id-953459,1,,4
42930,id-42930,1,1,16
1328772,id-1290614,1,12,19
1259426,id-1230720,1,19,22
124361,id-124361,1,1,8
212473,id-212473,1,1,20
253200,id-253200,1,31,5
541706,id-541706,1,1,11
2558019,id-2362059,1,12,12
156991,id-156991,1,,20
41855,id-41855,1,1,12
229643,id-229643,1,1,13
781892,id-781892,1,1,12
3089241,id-2841883,1,12,23
722599,id-722599,1,12,18
942133,id-942133,1,1,19
1280677,id-1248578,1,1,16
940727,id-940727,1,1,6
2982673,id-2745029,1,1,22
77724,id-77724,1,,12
2337838,id-2168048,3,1,27
226123,id-226123,1,1,11
2867820,id-2641050,1,1,15
825619,id-825616,2,1,18
230903,id-230903,1,1,11
649629,id-649629,1,1,11
641946,id-641946,1,1,14
610577,id-610577,1,12,44
1082635,id-1077175,1,1,14
829427,id-829427,1,1,19
4382,id-4382,1,,11
3352336,id-3079695,1,12,10
317078,id-317078,1,1,8
558493,id-558493,1,1,24
915460,id-915460,1,,16
870800,id-870800,1,1,18
928050,id-928050,1,,30
773468,id-773468,1,1,12
952561,id-952561,1,,13
464940,id-464940,1,7,6
236009,id-236009,1,,14
414203,id-414203,1,,18
112311,id-112311,1,1,38
129690,id-129690,1,,22
400291,id-400291,1,1,13
1211515,id-1188451,1,1,19
869862,id-869862,1,1,15
182081,id-182081,1,1,18
740157,id-740157,1,1,3
1336530,id-1297347,1,12,9
702885,id-702885,1,1,22
85820,id-85820,1,1,7
1199794,id-1178206,2,1,20
740639,id-740639,1,1,12
1386232,id-1340829,1,26,21
627277,id-627277,1,1,12
1156221,id-1140730,1,1,12
609421,id-609421,1,12,30
288848,id-288848,1,12,11
780511,id-780511,1,1,11
917204,id-917204,1,1,13
915945,id-915945,1,1,14
726545,id-726559,6,1,15
659841,id-659841,1,1,21
658865,id-658865,1,1,20
617503,id-617503,1,1,11
688817,id-688817,1,1,86
2113302,id-1973914,1,12,15
1492214,id-1433369,121,1,10
168612,id-168612,1,,10
1057381,id-1055025,2,1,11
683800,id-683800,1,1,48
109876,id-109876,1,1,12
97887,id-97887,1,,14
1075173,id-1070575,1,1,10
73377,id-73376,2,1,27
3654436,id-3353223,1,1,13
954027,id-954027,1,,11
2872880,id-2645561,1,12,18
479056,id-479056,1,1,2
728872,id-728872,1,1,17
1423980,id-1374203,1,1,12
579039,id-579038,2,1,16
1047657,id-1046771,1,1,25
934283,id-934282,2,1,18
602579,id-602579,1,1,9
626489,id-626489,1,1,8
868186,id-868186,1,1,10
2556104,id-2360266,1,12,63
858891,id-858891,1,,20
731484,id-731484,1,8,15
305725,id-305725,1,1,15
380991,id-380991,1,1,9
976988,id-1010822,3,,17
208510,id-208510,1,,11
1215682,id-1192085,1,,15
741813,id-741813,1,1,13
3354237,id-3081420,1,1,12
680789,id-680789,1,1,9
939707,id-871458,2,1,33
278782,id-278782,1,1,99
938429,id-938429,1,,16
2868142,id-2641346,1,,10
164930,id-164930,1,1,16
955912,id-955912,1,,15
3179209,id-2921886,1,12,11
78530,id-78530,1,,16
1077629,id-1072733,1,12,13
20481,id-586122,2,1,18
36415,id-36415,1,1,18
844884,id-844875,2,1,17
996821,id-884259,49,1,44
1017594,id-1017594,1,12,19
295278,id-295278,1,1,23
1487660,id-1429585,1,1,25
1207458,id-1184969,1,12,36
1093287,id-1086241,1,1,10
910469,id-910469,1,,16
2428245,id-2248625,1,12,8
959586,id-959586,1,,10
1491286,id-1432799,1,1,7
916692,id-916692,1,,23
771867,id-771867,1,12,2
883788,id-883788,1,1,19
3083018,id-2836108,1,12,8
198036,id-198036,1,,10
879215,id-879215,1,1,9
1115774,id-1105204,1,1,11
1377816,id-1333554,1,1,13
262465,id-262465,1,1,15
683377,id-683377,1,12,57
879328,id-879328,1,,12
479675,id-479675,1,1,99
2869264,id-2642330,1,12,7
1692335,id-1609164,1,12,3
2244244,id-2086552,1,1,10
952748,id-952748,1,,14
2555028,id-2359294,1,1,13
869539,id-869539,1,,12
479464,id-479464,1,7,8
764026,id-764026,1,1,5
244596,id-244596,1,1,25
686811,id-686811,1,31,6
1286881,id-1254131,1,12,11
673694,id-673694,1,12,71
937480,id-937480,1,,13
580735,id-580735,1,,11
761298,id-761298,1,31,12
818679,id-818679,1,12,20
1239530,id-1213214,1,,24
300813,id-300814,3,1,9
1197783,id-1176375,1,1,5
3766899,id-3457057,1,54,2
41522,id-41522,1,1,12
3260443,id-2995575,1,12,12
713019,id-713019,1,1,8
180403,id-180403,1,,14
1059585,id-1056931,1,1,21
255599,id-255599,1,,14
786896,id-786896,1,1,14
695637,id-695637,1,12,68
937231,id-937231,1,,16
2342893,id-2172535,1,12,16
344418,id-344418,1,1,12
1264477,id-1235246,1,8,11
69936,id-69936,1,1,19
620820,id-620820,1,12,51
312066,id-312066,1,1,17
210965,id-210965,1,1,9
301182,id-301182,1,,10
262355,id-262355,1,1,11
323591,id-323591,1,31,12
926423,id-926423,1,,12
876240,id-876240,1,,13
