id,gid,name,label_type,area,ended
33388,7a17a5cd013542a88ef45596f12481b0,Creole Records,Original Production,id-221,f
78831,9fbfbda2bebc4f5482ab3da17210dbfa,Loupgarous Productions,,,f
112244,c0d54add67a647a9a58b63fc913123be,Attenshun Records,Distributor,id-30589,f
200546,593583188e434083a57b0cb73461acae,800 Wild,,,f
139852,aa5203a7ae1649538b93f8d88e44b0e1,National Society For The Decriminalization Of Microtones,,,f
241500,bd3ae27d46714b11b32aa933f996b127,Funky Child Records,,,f
148910,706d85cfd79d4ea28d5488109d67cb62,Gamma Island,Publisher,,f
218835,8f3aa9a609894b809c1cc922eac0e8f8,RK4L Music Group,,,f
83664,43bb8c5a9a534f649d549d3a3f9d7be8,PRMD,Original Production,id-202,f
186918,79d204ac0f2d4b24aa67436c5d85d7f1,Checkmate Records,,,f
131302,58f6735b38844db4b1bb1d5c47d12369,Home Skillet Records,,,f
124791,c0ed5cabf4e949dead0fbb0322108c3c,VZ recording company,,,f
39701,ab389965099f4b54a3ae4802253976b0,Kaiho Music,Original Production,id-72,f
126552,d564087109344b95ba3a8ed2c17edf61,Punk Uprisings Records,,id-22328,f
10399,110a06e218414c98a84c042bc87e2666,Inevitable Recordings,Original Production,id-13,f
43814,5f0f86c6b5724ccaa7f9db9cbfebc590,Blues Forever,Reissue Production,id-105,f
21807,ede2ab189b6740358cdc7a51fc2f5cdf,Talent Müzik,,id-214,f
222356,0588c455755a475b8f0e404f330e10fa,Gong Ear,Original Production,id-21,f
93292,8fa00b8c51e74f49b50e55f8e2334eb8,There Was an Old Woman Records,,,f
208912,5a315b00941147a3a68d2808aee2d6c5,House of Gaga Publishing LCC,Publisher,id-222,f
236593,7501303f1ffd4e37a9f1f28900f709dd,Lemon Song,Bootleg Production,id-107,f
203246,7e15b708529b4fc2820fc2f5b2d99597,Hyper Utesov Records,,,f
216255,f0287e5f26324a9aada35a79e802a3c4,StrumaIodine,,id-653,f
245021,aea90741294f499eaeae2b90f95ef290,DJS Records,,id-150,f
43158,e562220ad4ce487c890b0ef9d5d5c030,101 South Records,,,f
51391,0ee2433813d5486b826e7fd30ec962a4,Bassex Records,Original Production,id-222,f
21825,57ba6da084a340cc8643e68431311c9c,Party People,,id-221,f
103349,4a140b7d07134a9d916d03f1ab766a40,Diplomat Records,,id-292,f
245887,5a0fcf3bae55486c972e487340328a9c,Foursome Music LLC,Publisher,,f
247629,cab3951412e345928c043470cdcfe89d,CD Kelly Productions,Production,,f
229345,6f937fb0e98d467f8132a689836e6967,VOX MUSIC,Imprint,id-107,f
202371,535519981b74461084763f76f5501b6b,SYLCO,Publisher,id-222,f
216696,68a4cb7017204ba18738806d1a5bf33a,Narvik Records,,id-13,f
239668,d478fc7a34cd4c2883dbc01ea72e0a2d,Akashic Records,,id-222,f
23604,ad0da8cfeac046f09a34a345f881c78b,AWB Productions,Original Production,id-222,f
96912,15a9f03ba21749d68376a9b2fca8a212,Rytmimystiikka,Original Production,id-72,f
217219,5e799be4044e419893866d26c8fe83f0,Life is Pain,,,f
150651,c52d584551e74a6c9f7629713f95a71a,SDK Media,,id-81,f
150590,fcfb2910fa6045d0bec77e4e23244087,Ste‐4 Musique,Imprint,id-7279,f
17929,5cd90abb857d4f1494cadc5fb9706904,hihat Records,,id-81,f
88818,341090a2de52436796f5cdcf26fdfb67,Oh Music,,,f
113501,3e6813abaead40e3a57a5c76cb30f495,Chukka Promo Records,Publisher,id-81,f
