id,gid,recording,medium,position,number,name,artist_credit,length,is_data_track
4019353,fd3c52f6f1f339b881800d039ab5e2e2,id-4901076,id-116965,7,7,Einst Freunde,id-306650,295093,f
997696,7748824b24e439daaa9f4b0a85b1aaaa,id-1165153,id-232253,8,8,Shampoo Theme,id-2310269,265826,f
2737427,aa03076e387d37f9b0d74dc8c81ccbb0,id-3288317,id-113652,9,9,Deliberate On,id-113439,348506,f
317127,503a23d45a73313ebc0aff08d778eb3f,id-590230,id-622523,6,6,Pieces of Ten Chandru mix,id-15177,319800,f
13752595,a54050c0b02238d0bb603e037f548ded,id-14286233,id-1257367,9,9,Lazy Summer Day Clearwater Beach del Mar Bar mix,id-644827,438000,f
32659847,423d9384fa474a2e886d66cef5171976,id-3289644,id-3082877,38,38,Up to the Wildstyle radio edit,id-57397,236000,f
8529618,ecaea9e6aa613f10aa13e8342ff1fc42,id-9953050,id-603818,178,178,Missionary Forces b,id-388226,90000,f
2973421,855921e3ee8630caa9b7bdadc9f2e2ad,id-3579512,id-286036,1,1,Whining Machine,id-20638,181000,f
8230230,0fa542f6b6e83194a49b0554d3126520,id-9627808,id-568943,3,3,Zahir Diperbatasan,id-634900,354000,f
12769109,843d6e4525cd31048410a57381c3d805,id-13747352,id-1196427,11,11,All I Want,id-128208,,f
13689725,6fdd5876ad833626a21ea99c2a6bf206,id-14246300,id-1252918,9,B4,Nights I Remember,id-61965,283000,f
5194745,37663ad6f7bc311fac8eb731e2e889c1,id-6349218,id-308534,3,3,Damnesia,id-298885,268226,f
8812729,387c3162d08d334aa39c9bec2affd9e2,id-10249255,id-624447,13,13,Saint Louis Blues,id-350212,208000,f
5858545,74464a92e3f23ca4a933a0c4e294e32b,id-7071118,id-283841,10,10,La canzone di Tom,id-450416,307333,f
3358300,41b39cdec00e3114a427022c6d988382,id-4059529,id-977277,16,16,A Bench in the Park take 2,id-99,,f
32660205,d46d98091f5145c2bf29fcbfd4adb821,id-27942497,id-3082921,5,5,Clouds,id-955512,196000,f
5057579,9f9fbd4cb689367998729b7bde84b7f5,id-6198635,id-695061,1,1,Looking Backward into the Future,id-388370,375000,f
4547030,2e0025c041643ff9ab6188042426d88c,id-5618952,id-126329,12,12,Daf No Wealth,id-346433,307560,f
8223504,3fc4cb40b6143e9bb399fbea76b8dfd0,id-9620195,id-568078,5,5,Doresh el hametim,id-634481,379000,f
7067817,79008a7c98b93f2ebe38d59717569319,id-8376439,id-432479,18,18,A tak já v tom zase lítam,id-421477,113000,f
9723996,6fcb0683240f3f568ff5fd53f647ed76,id-11225087,id-711716,15,15,Ancestral das esferas,id-728375,230693,f
10292653,7c3ae31f4cd434de91e53267d9338299,id-11856614,id-777097,11,11,As I Roved Out,id-770333,48000,f
9329377,b0be0ba61c2f38798074a4623cd9b218,id-10805176,id-678874,52,52,Swirly Gates narration,id-814078,30000,f
15124628,78afe27ba4c24df38799189802ed2899,id-270931,id-1350796,6,6,Drifters Escape,id-17,172160,f
10008298,97db1ac90e5936569a22a835a72cba8e,id-11541718,id-747502,7,7,Suco de quiabo,id-163583,,f
14266430,fd8282f42e593da3bf1db3ed229967e9,id-14625342,id-1293043,20,20,Dance With the Guitar Man,id-9152,158000,f
10512277,5e54d11b959835688191957783ff006b,id-4750627,id-800429,7,C7,Move Any Mountain Land of Oz,id-12616,344000,f
3771024,dd72da4471ba3d84a168790b96508a6f,id-4583708,id-961616,6,6,Kill Your Lover,id-287561,,f
8704892,dd015f05465833588eb32ae5605c5608,id-10136499,id-614902,29,29,I Do Like to Be Beside the Seaside 1,id-871679,115000,f
11156493,c0f614200c6f3487950d652a7171993b,id-12735217,id-1078593,8,8,Willy  Willeke Alberti Medley,id-54410,363000,f
12184681,cde3c6e46f383129bef70db9eecd8b25,id-13414868,id-1155893,19,19,Colter Phones His Father 4M5,id-787882,205000,f
9683201,8ab5da6325db301288192a2c695d711f,id-11180297,id-706566,13,13,Tastbaar strijkersversie,id-118286,203000,f
32634049,1f8235898db046eab5a0275d6a73c3af,id-27925276,id-3080213,1,1,Foolish Dancer,id-2815207,,f
2357211,99f3d12310e53a7f9d041f235a76feb9,id-2818405,id-384788,7,7,Ran Away to the Top of the World Today,id-34681,398266,f
2922880,ef14feb1c0f936dfa1b2f5cf7551e6da,id-3517288,id-482449,4,4,La donna riccia,id-66983,153840,f
4960219,d626daf2b0e83c60ac7303e5e83b2afc,id-6090670,id-252257,7,7,Tommys Mood,id-42534,264000,f
13101816,d0426e9419e331e6b2bda70869a9c307,id-6212204,id-193047,9,9,Im Not Going Home Gatecrasher vocal mix,id-280735,213000,f
14706028,59cdcbe4c759391f9bdd80c7625dcc94,id-14847954,id-1319796,5,5,Baby Baby,id-952267,214000,f
25394571,391c485a0fd64a94ac20c6e522a50ed7,id-1228563,id-2341157,8,8,Vickie and Mr Valves,id-9262,149066,f
34302167,39544271574f42ac815df9fcb24e0429,id-11391563,id-3262564,6,K6,Never Again,id-244,,f
2488208,477b7d71a0b63251ba830622d3a1a12c,id-2984638,id-1038390,2,2,Ferry Cross the Mersey,id-1517,338613,f
23065392,a7e6b3d63fb04305b129e877af4a6754,id-18890309,id-2110207,10,10,下輩子再見,id-1524576,,f
13971254,27d5ea7aeb163c44aada11499c5a9ea8,id-11317387,id-723097,2,2,Seven,id-735095,91000,f
12866196,dd1d5e1cb6ad3aa89ab8fabdb9abe855,id-9841246,id-842554,13,13,To Kill a Mockingbird Part 11f,id-464980,224293,f
5302724,b92fda0ca4563c16a81ad80a793bc7bc,id-6468615,id-218983,8,8,Colours of Indifference,id-56502,237120,f
4108443,77fbf567f53e3df087ef98be8642aa1c,id-5027935,id-83618,7,7,Moonlight,id-312700,308000,f
