artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-292392,Say Colour,Say Colour,,,,,,,f,,,,
id-1136543,Orjan Nielsen,Nielsen Orjan,,,,,,,f,Person,,,
id-132894,Soundscapers,Soundscapers,,,,,,,f,,,,
id-2396195,MISTA C,C MISTA,,,,,,,f,Person,,,
id-2396197,ESSENTIAL,ESSENTIAL,,,,,,,f,Person,,,phonk
id-2396199,SOUTHINFERNO,SOUTHINFERNO,,,,,,,f,Person,Male,,
id-1047695,Peter Fransson,Fransson Peter,,,,,,,f,Person,Male,,
id-535843,Twine,Twine,,,,,,,f,Person,,,Detroit techno producer Claude Young
rec-1035401-dup-1,Rijing Power,Rising Power,1981,,,,,,f,Group,,id-16652,
id-1714420,Grand Slam,Grand Slam,,,,,,,f,Group,,,asian
id-267882,Apollis,Apollis,,,,,,,f,,,,
rec-596530-dup-0,Demoriomacy,Dem0nomacy,1991,,,1994,,,t,Group,,,
id-960332,Sterling Davis,Davis Sterling,,,,,,,f,,,,musician
id-408648,Johnny Young  Kompany,Young Johnny  Kompany,,,,,,,f,Group,,,
id-1599729,Ingo ohne Flamingo,Ingo ohne Flamingo,,,,,,,f,Person,Male,,
id-595780,Hezbollah,Hezbollah,,,,,,,f,,,,
id-2289836,Mike Wendt,Mike Wendt,,,,,,,f,,,,
id-463417,Toccata,Toccata,1996,,,,,,f,Group,,,
id-1046885,Blëed,Bleed,,,,,,,f,Group,,,Canadian Thrash Metal Band
id-996171,Ulrich Forman,Forman Ulrich,,,,,,,f,Person,Male,,
id-659713,Getti,Getti,,,,,,,f,Person,,,
id-741088,Sundrips,Sundrips,,,,,,,f,,,,
id-613366,Spark of Fire,Spark of Fire,,,,,,,f,,,,
id-318843,Jahsoma,Jahsoma,2002,6,,2005,9,,t,Group,,,
id-161655,Driven,Driven,,,,,,,f,,,,
id-527706,Fee Fi Fo Fum,Fee Fi Fo Fum,,,,,,,f,,,,
id-1233112,Shoujo Kiss,Shoujo Kiss,,,,,,,f,Person,Male,,
id-884012,Unus Emre,Unus Emre,,,,,,,f,,,,
id-2292735,James Robot,James Robot,,,,,,,f,Person,,,
id-890025,Andres Zacco,Zacco Andres,,,,,,,f,Person,Male,,
id-1583219,Cactus,Cactus,,,,,,,f,Group,,id-4718,Italian band
id-2292739,vdm,vdm,,,,,,,f,Person,Other,,Californian electronic producer
id-996172,Cusp,Cusp,,,,,,,f,,,,London and South East 4-piece Alternative/Indie/Rock band
id-307961,Almanzora,Almanzora,,,,,,,f,,,,
id-369464,Sell Crazy,Sell Crazy,,,,,,,f,Group,,,
id-205778,Blak n Spanish,Blak n Spanish,,,,,,,f,Group,,,
id-471338,Erstlaub,Erstlaub,,,,,,,f,Person,,,
id-300625,Nedjev,Nedjev,,,,,,,f,Person,,,
id-964325,Nefastt,Nefastt,2003,,,,,,t,Group,,id-1833,French black metal band
id-491517,Bitchee Bitchee Ya Ya Ya,Bitchee Bitchee Ya Ya Ya,,,,,,,f,Group,,,
id-1513775,Xaoslord,Xaoslord,,,,,,,f,Person,,id-293,
