medium,release,position,format,track_count
id-621316,id-621316,1,31,5
id-1150090,id-1135276,1,29,2
id-3766622,id-3456801,1,12,1
id-476032,id-476032,1,7,2
id-1331414,id-1292901,1,1,2
id-387191,id-387191,1,31,2
id-1045502,id-1044982,1,1,6
id-337649,id-337649,1,31,3
id-1216846,id-1193051,1,,1
id-475040,id-475040,1,31,2
rec-823952-dup-0,id-823952,1,31,2
id-3256865,id-2992325,1,1,4
id-727115,id-727115,1,12,3
id-1310505,id-1204631,1,1,12
id-1234013,id-1208126,1,1,3
id-737793,id-737793,1,7,2
id-648295,id-648295,1,12,2
id-960813,id-960813,1,,8
id-578570,id-578570,1,1,3
rec-440666-dup-0,id-440666,1,7,3
id-2244281,id-2086586,1,12,1
id-360278,id-360278,1,1,5
id-258717,id-258717,1,1,6
id-668984,id-668984,1,1,4
id-865944,id-865944,1,,5
id-664214,id-664214,1,31,2
id-804493,id-804493,1,12,1
id-1353149,id-1311902,1,1,4
id-664211,id-664211,1,31,2
rec-740766-dup-0,id-740766,1,1,3
id-384778,id-384778,1,14,1
id-915335,id-915335,1,,4
rec-412304-dup-0,id-412304,1,31,3
id-937081,id-937081,1,,9
id-851895,id-851895,1,,5
rec-921846-dup-0,id-921846,1,,1
id-919368,id-919368,1,1,8
id-885078,id-885078,1,,8
id-886667,id-886667,1,,4
id-458008,id-458008,1,,1
id-204505,id-204505,1,,3
id-399645,id-399645,1,31,2
id-681442,id-681442,1,1,10
rec-758754-dup-0,id-758754,1,12,3
id-824560,id-824560,1,31,3
id-1145228,id-1131006,1,1,5
id-228101,id-228101,1,,4
id-541004,id-541004,1,12,2
id-55248,id-55248,1,1,11
id-430991,id-430991,1,7,2
id-430996,id-430996,1,7,2
id-1352096,id-1311004,1,31,3
id-389833,id-389833,1,14,1
id-1352095,id-1311003,1,31,3
id-1352092,id-1311000,1,31,3
id-1352091,id-1310999,1,31,2
id-3657241,id-3355373,1,12,2
id-958565,id-958565,1,1,19
id-791824,id-791824,1,,2
rec-1164759-dup-0,id-1148216,1,1,2
id-3657246,id-3355844,1,12,1
id-3254899,id-2990587,1,12,1
id-430505,id-430505,1,1,2
rec-467923-dup-0,id-467923,1,12,3
id-937880,id-937880,1,,6
id-89694,id-89694,1,,4
id-651879,id-651879,1,31,4
id-710609,id-710609,1,7,2
id-371472,id-371472,1,12,1
id-580134,id-580134,1,7,4
id-602637,id-602637,1,12,6
id-1242331,id-1215674,1,1,1
id-441308,id-441308,1,7,2
id-3653409,id-3352272,1,12,1
id-3208616,id-2948417,1,12,1
id-996933,id-996933,1,,2
id-595375,id-595375,1,,3
id-812418,id-812418,1,7,2
id-1028111,id-1028111,1,,2
id-418773,id-418773,1,7,2
rec-346969-dup-0,id-346969,1,1,1
id-741772,id-741772,1,54,2
id-1056957,id-1054640,1,29,2
id-932103,id-932103,1,,6
id-643112,id-643112,1,,1
id-1208930,id-1186255,1,,4
rec-658487-dup-0,id-658487,1,31,2
id-2255966,id-2096460,1,12,1
id-3764196,id-3454556,1,12,1
id-270573,id-270573,1,12,10
rec-621333-dup-0,id-621333,1,31,3
id-3764192,id-3454552,1,12,1
id-3764193,id-3454553,1,12,1
id-1526809,id-1463173,1,1,1
id-174161,id-174161,1,,1
id-1317994,id-1281227,1,31,3
rec-724919-dup-0,id-724919,1,8,4
id-808947,id-808947,1,1,5
id-1690956,id-1607931,1,12,1
id-300915,id-300915,1,1,2
id-261476,id-261476,1,31,2
id-539766,id-539766,1,1,5
id-1251071,id-1223425,1,12,1
id-571996,id-571996,1,12,4
rec-1604-dup-0,id-1604,1,,3
id-1368799,id-1325639,1,1,9
id-98578,id-98578,1,,4
