artist_credit,name,artist_count,ref_count,created
id-119462,Native New Yorkers,1,10,2011-05-16 163211.963929+00
id-333237,Aivi,1,18,2011-05-16 163211.963929+00
id-2130520,Devin Shelton,1,60,2017-12-18 212252.429294+00
id-276937,Frankpollis,1,12,2011-05-16 163211.963929+00
id-417923,Ahlev De Bossa,1,12,2011-05-16 163211.963929+00
id-787165,Tantara,1,47,2011-05-16 163211.963929+00
id-654634,Goshi Goshi,1,6,2011-05-16 163211.963929+00
id-455668,No End in Sight,1,12,2011-05-16 163211.963929+00
id-697570,Masterfleet,1,30,2011-05-16 163211.963929+00
id-690472,Twig,1,10,2011-05-16 163211.963929+00
id-110678,Worldless People,1,38,2011-05-16 163211.963929+00
id-171368,Grungerman,1,33,2011-05-16 163211.963929+00
id-1075581,Filiz Polat,1,2,2012-11-03 202337.29697+00
id-2373971,R.Lum.R,1,4,2019-02-24 190128.401967+00
id-1144124,Evils Desire,1,31,2013-03-26 205236.783167+00
id-935466,Phobias 87,1,28,2012-01-26 144631.523964+00
id-286679,Backhand,1,38,2011-05-16 163211.963929+00
id-522281,Twenty-Third Regiment Band of New York,1,112,2011-05-16 163211.963929+00
id-485830,Good Groove w/ Soul,1,15,2011-05-16 163211.963929+00
id-395402,When They Know You They Will Run,1,10,2011-05-16 163211.963929+00
id-361956,Air Conditioning,1,43,2011-05-16 163211.963929+00
id-460580,Captain Phoenix,1,49,2011-05-16 163211.963929+00
id-2984484,Pure Obsessions  Red Nights,1,129,2021-04-20 181844.737142+00
id-1630115,House Guest Rated X,1,6,2016-03-21 030030.696478+00
id-1207161,Corruption,1,8,2013-08-18 214925.2008+00
id-810202,Michael Curran  Geoff Knorr,2,6,2011-05-16 163211.963929+00
id-1034470,Stephen Kirkwood,1,18,2012-08-14 043345.556247+00
id-3394194,Jacob Johnson,1,4,2022-09-07 124317.917436+00
id-751341,Fis-t,1,10,2011-05-16 163211.963929+00
id-3184675,Vhstokyo,1,4,2021-12-24 200416.909847+00
id-426730,Defender,1,15,2011-05-16 163211.963929+00
id-417692,Matt Walker  The Necessary Few,1,31,2011-05-16 163211.963929+00
id-1225836,Philthy,1,24,2013-10-11 211942.198253+00
id-497588,Amanita y los Faloides,1,32,2011-05-16 163211.963929+00
id-863835,Vyaas Houston,1,12,2011-10-01 103235.381128+00
id-76908,Yo Yo Honey,1,71,2011-05-16 163211.963929+00
id-294836,Draculas Daughter,1,8,2011-05-16 163211.963929+00
id-649155,krokmonsieur,1,10,2011-05-16 163211.963929+00
id-598275,Corpore,1,26,2011-05-16 163211.963929+00
id-995325,Malice in Leatherland,1,12,2012-06-01 174442.409565+00
rec-500702-dup-0,The Smootbe Bros.,1,16,2011-05-16 163211.963929+00
id-180254,Tobi Legend,1,42,2011-05-16 163211.963929+00
id-216178,A Bitter Farewell,1,58,2011-05-16 163211.963929+00
id-787627,Sir Gant  The InVisible Force,1,13,2011-05-16 163211.963929+00
id-97481,Matthew Shipp Quartet,1,74,2011-05-16 163211.963929+00
id-1064339,Wielkanoc,1,30,2012-10-14 084029.485265+00
id-225643,Keyo Laboratories,1,12,2011-05-16 163211.963929+00
rec-1453706-dup-0,Chasing Sagety,1,56,2015-03-29 044927.810974+00
id-1223090,Cauze One,1,2,2013-10-04 213630.688701+00
id-326501,Duoteque,1,128,2011-05-16 163211.963929+00
rec-612923-dup-0,Fúnelore Hate,1,10,2011-05-16 163211.963929+00
id-488775,Elephant Castle,1,42,2011-05-16 163211.963929+00
id-1536228,Mosley Bar,1,49,2015-09-17 090450.133397+00
id-1464119,Bl00dsuck1ng Fr34k vs. N0123,2,2,2015-04-19 164955.993915+00
