artist_credit,name,artist_count,ref_count,created,gid
id-39182,Luxus Leverpostei,1,608,20110516 16321196392900,0aa17f5910c43f35bd761ebb3af72744
id-448704,Juaninacka,1,309,20110516 16321196392900,0b9628a6bbfa319a9c1de70e9635ac50
id-39235,Niccolò Paganini,1,5028,20110516 16321196392900,f931d0f3c2d631398d8a54f9ac96185a
id-1079442,Roseaux feat Aloe Blacc,2,45,20121113 15390037338500,fae924e5658a3eed910012285d467d5e
id-641639,Bill Sims,1,30,20110516 16321196392900,8013c872a20a3872a24fe3903a6b24f5
id-92267,Rolfe Kent,1,1411,20110516 16321196392900,f1f20ec5c72a3ff0a80a78e7062d7fbf
id-3005240,Sven Gunderssen,1,48,20210518 04570878948200,6ea527782518320a93908a08a454de34
id-1114,The Flaming Lips,1,5393,20110516 16321196392900,3b046384ea413c07bff3649dbad0c059
id-52743,Stars,1,1305,20110516 16321196392900,dc003746c53c3324b9140347f221d535
id-61861,Gustavo Santaolalla,1,1521,20110516 16321196392900,6158accb02e4341c9405791ae4669dee
id-470095,Absolve,1,34,20110516 16321196392900,901b579fdb5b3b4ea83d81bdce626b4a
id-559981,Ștefan Iordache,1,70,20110516 16321196392900,892390ae01e330668ad76132cfdfbe2f
id-560475,João Triangular,1,2,20110516 16321196392900,4f2bc620b6923379ba3e5124998ba5df
id-2140265,Chris Baines,1,16,20180106 05102508121700,78bf3167c9d43fde923993be3c872557
id-831907,Ed Motta  Alcione,2,4,20110620 08370969871800,de7eb05a66d53ed39c5e414165b8b7cd
id-86412,St Eve,1,28,20110516 16321196392900,3046ec037073327dae605b6188ce25f3
id-1374542,Ricky Hollywood,1,122,20141007 20000385677600,415ad37c29533aadad674c53252df5e3
id-1170816,Rocco Raimundo,1,31,20130525 21143844876300,cbed08f8ce773a028d9f3f99f2715d8e
id-74886,Manuel Salado,1,99,20110516 16321196392900,79e818b8d59d378e9e924fb53e1e1c8d
id-184627,Trencher,1,131,20110516 16321196392900,c7067479677f3feda3bbad8962d19784
id-2560,Alpha Blondy,1,1190,20110516 16321196392900,f273ced2fccc398a9f4098882c0a6f49
id-1136549,Brad Paisley feat LL Cool J,2,5,20130308 09514642289500,a8a730b799c23e0984c9c32584a9c7d7
id-282220,Echo Orbiter,1,40,20110516 16321196392900,982578c3d83a38cab109e17ae2e7adfc
id-224851,中川幸太郎,1,3154,20110516 16321196392900,79fbd11a5ea834c1ba7b28ba0868338f
