artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-88237,9bee9ca1373c421c824017c647896c74,Buzz Fuzz,Buzz Fuzz,,,,,,,f,Person,Male,id-150,
id-32763,0b7ee61916ed4e60b8716a2111c12b76,James Last,Last James,1929,4,17,2015,6,9,t,Person,Male,id-81,German big band leader  composer 1929–2015
id-85960,ef376f0ed8b844b3bdc99102b6486ec5,Busta Flex,Busta Flex,1977,9,30,,,,f,Person,Male,id-73,
id-113100,212084fe50b84e0c8deacb63ac1d810f,Dadoo,Dadoo,1974,,,,,,f,Person,Male,id-73,
id-468284,7c4dcb99dac8432a8e477ae739d7439d,Tandem,Tandem,,,,,,,f,Group,,id-73,French rap duo
id-60144,8eadbdaafb4945219c3eaf2ed4854317,The Boy Wunda,Boy Wunda The,,,,,,,f,Person,,,
id-156209,47297020ad494104a0c58c9db9bbfc28,Baby Jail,Baby Jail,1985,,,1994,5,28,t,Group,,id-203,
id-597708,aaa03b88405b49ef82b6302244c13f1a,Riverbed Jed,Riverbed Jed,,,,,,,f,Group,,,
id-914843,949f52ccdce24cedbe233fa0fc8f6c2c,Marc F Teitler,Teitler Marc F,,,,,,,f,,,,
id-129963,ffee2206eb9e4b3994478977e269ed0e,Some Girls,Some Girls,2002,,,2007,,,t,Group,,id-222,Hardcore band
id-311666,776ec9c43a794906bf5b7a54fccf0aae,SION,SION,1960,9,13,,,,f,Person,Male,id-107,Japanese blues rock singer
id-531788,dcf3d5db66dd4fe0a6aa08080226d214,Elton D,D Elton,,,,,,,f,Person,,,
id-320963,605a97cb4f454fe4b40f20662875fa90,Evil Empire,Evil Empire,,,,,,,f,Group,,id-222,US ska punk band
id-83099,bc12882cf33949dea3d903736c47f57b,Ripcord,Ripcord,1984,,,1988,,,t,Group,,id-221,UK punk band
id-300607,f83341e7f10948aa9a2eab2305356461,Reagenz,Reagenz,,,,,,,f,Group,,,
id-1863653,15fc0cd1d2f74bbda72667e6a2d61ac4,FFForecast,FFForecast,,,,,,,f,Person,Male,id-271,Vito James 62nd alias
id-584566,8706af08ed824e9391037ceb4ab211da,Oriental Journey,Journey Oriental,,,,,,,f,,,,
id-299437,1f34de99d9f8423f8fa5dc87e10beab0,Juan Llossas,Llossas Juan,1900,7,27,1957,5,21,t,Person,Male,id-194,
id-59942,79255a5040df447f96122cf669080196,The Raveonettes,Raveonettes The,2000,,,,,,f,Group,,id-57,
id-649189,36dd963a9f07424e9a624cc8f639b59c,Aquavoice,Aquavoice,,,,,,,f,Person,Male,id-170,
id-1121,34e10b51b5c64bc1b70ef05f141eda1e,John Denver,Denver John,1943,12,31,1997,10,12,t,Person,Male,id-222,
id-193,6da0515ea27d449d84cc00713c38a140,Skid Row,Skid Row,1986,,,,,,f,Group,,id-222,US hard rock  heavy metal band
id-130563,f4098b4463f840fdaed4b2c8ea935641,Grin,Grin,,,,,,,f,Group,,,Nils Lofgren
id-110347,9b0855022c93446fab1b858e281471ff,Riton,Riton,1978,9,,,,,f,Person,Male,id-221,English electronic DJmusician Henry Smithson
id-1511405,a2f602b49d4e436da3a307a7e305da79,The Whirligigs,The Whirligigs,,,,,,,f,Group,,id-23042,Minneapolis band
id-639024,c2ea0fabcce3408b8530d822f1e22394,Carl Fentons Orchestra,Carl Fentons Orchestra,,,,,,,t,Group,,id-222,
id-1012426,c2ad3180b1e743d8a4b2938cd1fccfaa,Golden Green,Golden Green,1992,,,2007,,,t,Group,,id-21,Belgian Punkmod band Band
id-102639,a81ca3d5710c4f09acc29c17abe225a6,Malaria,Malaria,1981,,,1984,,,t,Group,,id-81,German New WaveDark Wave
id-10179,ba3f06e28162413ba191444303bf17a5,Fourth World,Fourth World,,,,,,,f,Group,,id-30,Brazilian jazz
id-251079,cc3448505e944f6085435a21c7ed3af9,Column 5,Column 5,,,,,,,f,,,,
id-69589,0364a5a3102e41a380b3fe47b1e77745,Die Alpenrammler,Alpenrammler Die,,,,,,,f,Group,,id-81,
id-459923,f3fd8e21a52941f481ef75b86b92f23b,Lotek,Lotek,,,,,,,f,Person,Male,id-202,Swedish drum  bass artist
id-108194,a962a2a707c945448d1fa506016674d8,Seba,Seba,,,,,,,f,Person,Male,id-202,Swedish drum  bass artist Sebastian Ahrenberg
id-570554,ab0b1132222c459f817bc170d9ea606b,fuwafuwa,fuwafuwa,,,,,,,f,Group,,,
id-222939,24fb2b345dc948e2961b8f71bd21cd84,Pate Mustajärvi,Mustajärvi Pate,1956,7,12,,,,f,Person,Male,id-72,
id-212323,2d6c6d12d926458bb9fad1941b04c78c,שייגעצ,Sheygets,1999,9,,,,,f,Group,,,
id-513696,1793602c829c4a00b3860820530bc3a0,Fernando Lagreca,Lagreca Fernando,,,,,,,f,Person,Male,,Electronic music producer
id-2207370,05333e75206141bda71b765d9444a607,Dodmorke,Dodmorke,,,,,,,f,,,id-176,
id-833798,63b7412b54f14568a6b825194699ca96,Carlos Rivera,Rivera Carlos,1986,3,15,,,,f,Person,Male,id-138,
id-128281,e7d5d09ee5c64bc0b801ba826abc9819,Asonance,Asonance,1976,,,,,,f,Group,,id-56,
id-260069,3ac7b826d8694bcc9dcdba2fc678bed8,Les  Larry Elgart,Elgart Les  Larry,,,,,,,f,Group,,id-222,
id-11444,3ba68671e3b5426381dc76b16b29bbc6,Gustav Holst,Holst Gustav,1874,9,21,1934,5,25,t,Person,Male,id-221,composer
id-580304,e88122d31e264543a7edb029a5e466cf,Milana Misic,Misic Milana,1970,10,23,,,,f,Person,Female,id-72,
id-350857,d7aa252a61cd4550bd29df8eff9f686e,Autoclav11,Autoclav11,,,,,,,f,Person,Male,id-30918,
id-1167795,fc3e89831f514c80b2b5146bf2162dc2,Tom Misch,Misch Tom,1995,6,25,,,,f,Person,Male,id-221,
id-916591,7f24f8a0b7bc4f12af834da059103a9e,Michael Sternbacher,Sternbacher Michael,,,,,,,f,Person,Male,,
id-738020,4144f1fc06404e919b793c70cf89167f,Thurman,Thurman,1994,,,1996,,,t,Group,,id-221,90s UK Indie band
id-12069,cd42041bcf4b4d9487c31a3290331b07,Mason Williams,Williams Mason,1938,8,24,,,,f,Person,Male,id-222,US classical guitarist composer writer comedian  poet
id-282007,61015221ab8b4299a2585dd3441a001b,Spyweirdos,Spyweirdos,1980,12,7,,,,f,Person,Male,id-84,
id-199902,e78332e1629b43baae27f60abab2f893,Little Barrie,Little Barrie,,,,,,,f,Group,,id-221,
id-544571,48f04cff9d234080893903cd5cceaaa0,Ilbeltz,Ilbeltz,,,,,,,f,Group,,id-194,
id-227524,3a3548f9cf4548788c2d023861dcd809,Dead Machines,Dead Machines,,,,,,,f,Group,,id-222,
id-62436,8830afec83b34213aad0f6377f1d73ac,Sea Power,Sea Power,2000,,,,,,f,Group,,id-221,
id-35412,52a180678b9744228360e068864e1cd6,The Jim Carroll Band,Carroll Jim Band The,1978,,,1983,,,t,Group,,id-222,
id-458501,9c248f7baf0648cf9c4295df5eca4dd9,Rahman Asadollahi,Asadollahi Rahman,1951,,,,,,f,Person,Male,id-222,
id-4344,4a94a6cbe70a418bbb53a37897b950ce,Cole Porter,Porter Cole,1891,6,9,1964,10,15,t,Person,Male,id-222,composer
id-1242915,16e1b383431c4d31bb69591e1c5ded77,Wiener Blond,Wiener Blond,,,,,,,f,Group,,id-14,
id-854571,01202233d1554cfa83bf55dc776bc309,Electric Guest,Electric Guest,2011,,,,,,f,Group,,id-222,United States indie pop band
id-22775,23e6861fb66f4880b3ebf3ab1bafd840,The Infinity Project,Infinity Project The,,,,,,,f,Group,,id-221,Goa Trance
id-158534,b1b9f5fc3a3a485594fd6d4e087a9790,Bob Fosko,Fosko Bob,1955,10,4,2020,2,28,t,Person,Male,id-150,
id-9889,1b15e90d910c4be499cb463772a6430f,Fun Lovin Criminals,Fun Lovin Criminals,1993,,,,,,f,Group,,id-222,
id-99153,1b44ad31811f4c6fb821f96133fab1ca,Serge Lama,Lama Serge,1943,2,11,,,,f,Person,Male,id-73,
id-639540,234db7ee3cf24df782f37563f6e2d47f,Expozed,Expozed,,,,,,,f,Person,,,
id-837200,1f52750754cf4078b652d17e7ff059ca,百蚊,Hyacca,2004,,,,,,f,Group,,id-7281,
id-512417,1c22f527a2b34f80845f6c9926658603,Jypsi,Jypsi,1994,,,,,,f,Group,,id-222,
id-183021,5fb7f0793b41402ebbdaaeb989da708a,Stijn,Stijn,1976,11,25,,,,f,Person,Male,id-21,Belgian electronicfunk music bandproject
id-453522,49c186e4ef1f44368fba42717a8a3072,Mak,Mak,1983,,,1991,,,t,Group,,,
id-563577,627c5f46e8a549f89192c2752654bed1,Parralox,Parralox,2008,2,,,,,f,Group,,id-13,
id-595902,ea952d3d848040eebfd720e574ed9eda,Howard Morrison,Morrison Howard,1935,8,18,2009,9,24,t,Person,,id-153,
id-60323,fed6cee0cd334ccaaf6755cf07dc9a8e,Georg Ringsgwandl,Ringsgwandl Georg,1948,11,15,,,,f,Person,Male,id-81,
id-16187,17995d1c5b3c4ee998f5105ee3b4ada1,Eddie Cochran,Cochran Eddie,1938,10,3,1960,4,17,t,Person,Male,id-222,
id-844773,1700718cdc9940b8b7e8c33ed28b8070,Gary Lambert,Lambert Gary,,,,,,,f,Person,Male,,
id-221983,8baba03b38da42a4b9055326c828bf4e,Clazziquai Project,Clazziquai Project,2001,,,,,,f,Group,,id-113,
id-974776,5656c97b11c04889a66ac9946931a6cd,Phillip Cary,Cary Phillip,1958,6,10,,,,f,Person,Male,id-222,
id-343241,f4ad883e9a9245eda540a49c2d1c36dd,The Fratellis,Fratellis The,2005,,,,,,f,Group,,id-221,Scottish rock band
id-589743,1e911cb3091e4158ba7a425d1c9234d4,Donald MacPhee,MacPhee Donald,,,,,,,f,Person,,,
id-40572,a9fac3f004674073a147f7b3c2913b04,Sophia George,George Sophia,1964,2,21,,,,f,Person,Female,id-106,
id-62973,a6b1d4ba6c12488aa05c366a9e17de7d,Hammerbox,Hammerbox,1990,,,1994,,,t,Group,,id-222,
id-594213,8846113f304d489990b0ad8f66c22cf9,Rick Williams,Williams Rick,,,,,,,f,Person,,id-222,US bluegrass guitarist
id-299749,2ef51c46f2f84a88bc5e6236bac9e1c3,Marianne  Michael,Marianne  Michael,1973,,,,,,f,Group,,id-81,
id-1907738,80b5421219f542cebfd7e08db9c298ae,Go_A,Go_A,2012,,,,,,f,Group,,id-219,
id-60537,e36f6749cf76469e9dd9f9195c326928,Jan Akkerman,Akkerman Jan,1946,12,24,,,,f,Person,Male,id-150,
id-1118100,423cc4e30aec48d79d745766ea3577ec,Blackened Angel,Angel Blackened,2013,,,,,,f,Group,,id-13,
id-667220,e341765ce5624084a180ac6786bbbe9c,Matlubeh,Matlubeh,,,,,,,f,Person,,,
id-1787874,362e409c58434b0bb5faa77bb351b062,Love Ranger,Love Ranger,,,,,,,f,Person,Male,id-83392,Vito James 61st alias
id-176869,db5a97c6ded84cd89f11d971bd527b92,The Omega Syndicate,Omega Syndicate The,,,,,,,f,Group,,,
id-428676,f1a6b5ac8f054a838a2d4770a31daa17,MacCrimmons Revenge,MacCrimmons Revenge,,,,,,,f,Group,,,
id-101721,3f1c4c1efb8d4a56832e33826f38f2e9,Cocknoose,Cocknoose,,,,,,,f,Group,,id-222,
id-806335,2c4fc730cb224a148e3f28e004b9e11a,Paper Diamond,Paper Diamond,,,,,,,f,Person,Male,id-222,Colorado US based producer Alex B
id-1011045,9280208a47f347a690010e0b254bd7f8,LOUDPVCK,LOUDPVCK,,,,,,,f,Group,,id-7703,Kenny Beats  Ryan Marks
